Module Name,Test Case Name
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_AllSessionsMenuIsNotVisibleForCoach.xlsx
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_AutoRefreshOfAllGridsEveryOneMinute
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_BrowserHistoryIconUnderAllSessionsTabForHFOpsHFAdmin
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_BrowserHistoryIconUnderUpcomingSessionsTabForHFOpsHFAdmin
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPs_CancelledCS1on1SessionsAreNotListedUnderUpcomingSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_CancelSessionIconIsDisabledForUpcomingGroupAndCustomizationSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_CancelSessionIsDisabledForAllSessionsUnderPreviousTab
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPs_CoachCalendarOnAccessingShowCalendarIconForAllPreviousSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ColumnsUnderAllSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ColumnsUnderPreviousSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_ColumnsUnderUpcomingSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_FilterUnderAllGrids
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_GridsUnderAllSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_Group MemberInfoInformationAboutAllGroupMembers
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_GroupMembersInformationIconDisabledForAllPrevious1on1AndCSSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_GroupMembersInformationIconDisabledForAllUpcoming1On1AndCSSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_GroupMembersInformationIconEnabledForAllPreviousGroupSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_GroupMembersInformationIconEnabledForAllUpcomingGroupCsSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_GroupMembersInformationIconEnabledForAllUpcomingGroupSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_HyperlinkUnderAllSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_HyperlinkUnderPreviousSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_HyperlinkUnderUpcomingSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_Missed_CS1on1_Sessions_AreNotListedUnderUpcomingSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPS_MissedSessionsAreListedUnderPreviousSessions
/Real Appeal/HFOps/Classes/All Sessions,RA_HFOPs_PreviousSessionsGrid
